date,daily_pnl,daily_volume,daily_trades,sentiment_value,sentiment
2024-08-12,212.08102,14787.02,17,25,Fear
2024-08-13,0.0,15553.880000000001,30,31,Fear
2024-08-14,2168.9015130000003,66189.24,22,30,Fear
2024-08-15,825.230544,166382.84,35,29,Fear
2024-08-17,-288.283113,30248.96,30,25,Fear
2024-08-18,307.201888,62804.48,15,31,Fear
2024-08-19,339.69958299999996,100315.03,8,28,Fear
2024-08-20,192.602844,49914.8,12,30,Fear
2024-08-21,656.200925,104990.41,145,26,Fear
2024-08-23,1005.30527,98509.23,17,34,Fear
2024-08-24,0.0,21950.28,17,56,Greed
2024-08-26,231.236918,125360.01,52,55,Greed
2024-08-27,1333.359645,108661.48999999999,13,48,Neutral
2024-08-29,256.464,19735.23,2,29,Fear
2024-08-30,0.0,127494.0,14,34,Fear
2024-08-31,10.882801,7507.29,25,29,Fear
2024-09-01,137.433093,42360.1,14,26,Fear
2024-09-04,1065.785132,131480.97,34,27,Fear
2024-09-05,0.0,0.84,1,29,Fear
2024-09-06,-1104.856765,39047.1,42,22,Extreme Fear
2024-09-08,0.0,0.11,1,29,Fear
2024-09-09,-219.729659,5794.97,4,26,Fear
2024-09-10,0.0,766.74,1,33,Fear
2024-09-11,0.0,0.54,1,37,Fear
2024-09-13,0.0,1014.1500000000001,10,32,Fear
2024-09-14,0.0,0.65,1,50,Neutral
2024-09-17,-878.684794,13633.5,145,33,Fear
2024-09-18,0.0,1521.8700000000001,19,45,Neutral
2024-09-20,45750.60361,498521.5,39,54,Neutral
2024-09-22,334.760796,50334.04,4,52,Neutral
2024-09-23,0.0,11005.05,10,50,Neutral
2024-09-24,0.0,6113.57,1,54,Neutral
2024-09-25,0.0,52754.130000000005,9,59,Greed
2024-09-26,439.812513,113711.93000000001,8,50,Neutral
2024-09-27,0.0,155296.25,60,61,Greed
2024-09-30,2710.626288,214669.85,106,61,Greed
2024-10-01,0.0,239908.66,8,50,Neutral
2024-10-02,0.0,6413.16,2,42,Fear
2024-10-03,100.375782,126522.53,7,37,Fear
2024-10-04,5719.08107,485636.81,24,41,Fear
2024-10-05,178.567901,220102.44,25,49,Neutral
2024-10-06,0.0,199997.39,11,50,Neutral
2024-10-07,5396.546638,654568.18,55,50,Neutral
2024-10-08,396.06272,120399.27,9,49,Neutral
2024-10-09,0.0,180001.45,10,49,Neutral
2024-10-10,0.0,220024.15,13,39,Fear
2024-10-11,9292.785427,638483.84,35,32,Fear
2024-10-12,134.09676,10133.75,1,49,Neutral
2024-10-13,0.0,60002.42,10,50,Neutral
2024-10-14,1913.61958,71915.59,6,48,Neutral
2024-10-15,1230.496376,91233.28,8,65,Greed
2024-10-16,195.325536,100204.28,13,73,Greed
2024-10-17,269.525061,200764.06,9,71,Greed
2024-10-18,63.69408,80061.16,5,73,Greed
2024-10-19,0.0,40000.22,1,72,Greed
2024-10-20,1826.930782,202466.95,120,73,Greed
2024-10-21,1027.140579,298098.9,149,72,Greed
2024-10-22,0.0,60000.36,3,70,Greed
2024-10-23,-46.489941,210006.07,18,71,Greed
2024-10-24,4060.784935,284096.55,15,69,Greed
2024-10-25,51647.071266,232455.49,21,72,Greed
2024-10-27,666.6623079999999,120662.2,5,74,Greed
2024-10-28,167.28016200000002,221484.78,20,72,Greed
2024-10-29,810.320899,491612.33999999997,63,72,Greed
2024-10-30,-2.5534149999999998,33448.5,16,77,Extreme Greed
2024-10-31,1216.5972259999999,896214.92,41,77,Extreme Greed
2024-11-01,1040.475736,270989.97000000003,23,75,Extreme Greed
2024-11-03,1888.495714,350925.35,15,74,Greed
2024-11-04,1589.390688,430569.51,37,70,Greed
2024-11-05,-3.41119,32002.440000000002,6,70,Greed
2024-11-06,6182.17652,111742.41,104,70,Greed
2024-11-07,1132.4250359999999,151494.65,26,77,Extreme Greed
